Id,SalePrice
1461,109872.67374097844
1462,144485.8969071698
1463,168768.04527934827
1464,188796.71649706727
1465,199086.50162679498
1466,175141.85040934186
1467,161796.12843207738
1468,171266.8722494106
1469,205749.92883723768
1470,106727.59137300414
1471,206630.3854472252
1472,111478.13368503524
1473,108386.73115941824
1474,161994.38001061376
1475,127374.9368397626
1476,342735.1082691972
1477,259049.20049899875
1478,306601.97668984445
1479,293029.33907661814
1480,442645.54026177584
1481,307032.3224449405
1482,233738.79351918178
1483,180187.50513242217
1484,182158.27482719405
1485,186688.3006582707
1486,211123.8555771621
1487,316665.9465962865
1488,276290.3404299747
1489,194559.82631808054
1490,205214.51752490058
1491,195699.63460658505
1492,101396.44646054346
1493,200817.29310895805
1494,283641.8295985075
1495,281795.98446903063
1496,223927.45384596303
1497,196389.46281679298
1498,164171.3821884088
1499,164539.2614551225
1500,153150.61114112491
1501,166817.77398747226
1502,154801.29118404203
1503,274858.618353368
1504,240284.61402903646
1505,223825.6858956639
1506,180755.81732436304
1507,233736.1605458591
1508,186304.44063746918
1509,157072.05291623733
1510,136413.09889033152
1511,135708.25423615007
1512,153170.41466707407
1513,154996.09393699182
1514,149008.25880587372
1515,214180.94784778223
1516,147581.45476541258
1517,159620.41700225748
1518,149251.38714906818
1519,213629.52453665764
1520,119234.29111948585
1521,122748.09305200606
1522,187403.7051611085
1523,107291.63576110055
1524,113357.44727628844
1525,107325.58226656135
1526,109192.27354769436
1527,107497.23086050745
1528,134661.98088255647
1529,129594.2016545812
1530,174637.13794609703
1531,129892.69241789504
1532,96201.25282363007
1533,142991.61155553372
1534,136583.9493161359
1535,158561.3230408629
1536,112665.49710155497
1537,86781.87479348361
1538,160736.39378143157
1539,187520.2031952988
1540,123259.1405991376
1541,145442.35108967603
1542,141731.26778527477
1543,197243.8381429559
1544,82668.9475676778
1545,108268.87910884112
1546,145239.61018368046
1547,140793.17947893124
1548,125255.44601389147
1549,109907.42726327495
1550,129821.71975194744
1551,121522.37481118586
1552,130935.801916118
1553,131419.56866956747
1554,122465.51764932336
1555,164455.64178253262
1556,100243.09634378922
1557,105230.55115926066
1558,100617.4430812247
1559,102084.347725233
1560,128035.82570696693
1561,129535.19316745762
1562,122965.43740684123
1563,106060.51342413583
1564,177386.9484949443
1565,153422.73019749945
1566,230184.32679319702
1567,85429.00611195146
1568,200623.45611535478
1569,124469.93435162558
1570,143700.0829890087
1571,129326.89467146879
1572,130978.98359482987
1573,260002.38890938245
1574,134209.60395419598
1575,227437.92248676
1576,223725.39260915795
1577,195167.85459340696
1578,131193.98795382117
1579,136355.3017622322
1580,202151.012313918
1581,128070.97259359571
1582,116516.00561720628
1583,308919.01921575365
1584,232205.64926799646
1585,144918.8121306101
1586,77621.59963473288
1587,105281.00004368303
1588,127231.04689358
1589,107073.10202504946
1590,144339.04793490603
1591,91940.91151993487
1592,136329.71963650134
1593,117736.68694446931
1594,120955.02112633271
1595,119671.06631181863
1596,213422.87924102147
1597,162155.6334148018
1598,191023.3166615327
1599,193280.49023801408
1600,201445.77273521456
1601,58423.96376165091
1602,116618.97248991752
1603,83606.17001641689
1604,256724.2634768403
1605,260669.63411614453
1606,168646.59743271937
1607,197931.74515477745
1608,228829.0371638321
1609,192311.52561354148
1610,148331.1120655911
1611,150315.54175268835
1612,177011.22382170154
1613,173887.75437297518
1614,121065.526803715
1615,92097.28915420412
1616,92097.28915420412
1617,100118.60316999846
1618,117438.01103716916
1619,123305.32969558053
1620,173619.79301995557
1621,137914.1990905424
1622,125322.37400161813
1623,280346.64492083323
1624,202256.75815269243
1625,113577.87301020516
1626,172983.22832659373
1627,183071.99203672746
1628,278225.4866845938
1629,193073.39256544405
1630,327540.9511700567
1631,214354.0742826838
1632,238169.78280491548
1633,176965.56806953243
1634,184087.8868886392
1635,173247.72374947616
1636,173308.57282059078
1637,167591.9576311645
1638,211356.704500332
1639,192475.98809203037
1640,249527.98471603097
1641,196894.78704428737
1642,225690.14912603103
1643,245474.7264810053
1644,239865.45871164853
1645,185031.936823132
1646,150812.59194565818
1647,169762.0079855413
1648,135397.090372687
1649,120197.08356563596
1650,106421.4499905274
1651,115580.82966659318
1652,112423.35199833688
1653,112211.32722911428
1654,159756.58238333886
1655,157696.6283296432
1656,158380.78544280946
1657,161111.1479200981
1658,158210.29126667962
1659,128744.81141012197
1660,150466.06981031538
1661,411446.8058014748
1662,355088.0130804511
1663,343250.86883513595
1664,470978.36641267786
1665,313051.6583920285
1666,320775.60693832126
1667,316907.06956384116
1668,317138.1119493761
1669,288861.17525327194
1670,320269.96545027226
1671,247608.5799122275
1672,383440.2354852295
1673,282043.02311840816
1674,277546.0852330079
1675,195836.16791195265
1676,193893.3366937522
1677,215193.14903203916
1678,418995.74171421153
1679,324014.5826967994
1680,307190.4092919122
1681,262584.68429751304
1682,280002.2316178812
1683,215019.3357557182
1684,194109.598352539
1685,180706.61794982673
1686,199290.10098230912
1687,186712.71941831397
1688,208081.49602472066
1689,205066.9200245147
1690,197278.83699644083
1691,185525.4348720898
1692,258217.78036713065
1693,175065.17740383028
1694,175613.96047057054
1695,181977.48295342232
1696,261447.11041636762
1697,181747.2686176733
1698,345843.56117744645
1699,329888.88702401664
1700,230859.28564219008
1701,260649.58348656775
1702,273922.42173653626
1703,281019.95672072744
1704,287848.40908547054
